label,title,content
8,Surchan Mahalleh, Surchan Mahalleh (Persian: سورچان محله‎ also Romanized as Sūrchān Maḩalleh) is a village in Reza Mahalleh Rural District in the Central District of Rudsar County Gilan Province Iran. At the 2006 census its population was 140 in 48 families.
3,Carl Wegner, Carl Wegner is a South African rugby union player currently playing with Free State Cheetahs in the Currie Cup and Vodacom Cup. His usual position is lock.He joined French Top 14 team Stade Français at the end of 2012.
9,Bois Roussel, Bois Roussel (1935–1955) was a French-bred Thoroughbred champion racehorse and a leading broodmare sire. He won the 1938 Epsom Derby on his second racecourse appearance.
9,Bombus dahlbomii, Bombus dahlbomii is a species of bumblebee. It is endemic to South America where it is the only native bumblebee of the temperate forests. The queen of this species is the largest bumblebee in the world.This bee was once widespread in Patagonia and the only bumblebee species in the region. The decline of its populations started around the year 2006 coinciding with the first reports of Bombus terrestris in the area.
1,Galion High School, Galion High School is a secondary school located in Galion Ohio USA. It serves students ranging from grades 9-12. The school colors are blue and orange and the mascot is a tiger. The current high school building was opened in the 2007-2008 school year following the demolition of the Galion High School located on North Union Street.
7,Rötelbach (Donau), Rötelbach (Donau) is a river of Baden-Württemberg Germany.
10,Polyscias tahitensis, Polyscias tahitensis is a species of plant in the Araliaceae family. It is endemic to French Polynesia.
10,Protium attenuatum, Protium attenuatum is a species of plant in the Burseraceae family. It is found in Dominica Guadeloupe Jamaica Martinique Saint Kitts and Nevis Saint Lucia and Saint Vincent and the Grenadines.
4,Joseph-Ernest Grégoire, Joseph-Ernest Grégoire (July 31 1886 – September 17 1980) was a French Canadian politician.
2,Michael Casswell, Michael Casswell (June 18 1963) is an English session guitarist who has toured and recorded with numerous artists including Brian May Joe Bonamassa Steve Hackett Wang Chung Ronan Keating Rose Royce Cozy Powell Tony Hadley Go West Dean Friedman Limahl (Kajagoogoo) Rhinos Revenge Band and Marcus Malone.
0,Trickfilmstudio, Trickfilmstudio (later Pingu Filmstudio) was an animation studio located in Russikon Switzerland. The studio was perhaps noted for being the claymation location of the Swiss television hit Pingu. The show ran from 1986 to 2000 and the studio was later closed for reasons unknown.
9,Mordella bifasciata, Mordella bifasciata is a species of beetle in the Mordella genus that is in the Mordellidae family which is a part of the Tenebrionoidea superfamily. It was discovered in 1801.
13,Military Medicine (journal), Military Medicine is a monthly peer-reviewed medical journal covering research and developments in the field of medicine in military settings. It is the official journal of the Association of Military Surgeons of the United States. It publishes research reports case reports editorials letters to the editor and book reviews.
5,Arkhangelsky Ar-2, The Arkhangelsky Ar-2 was a Soviet dive-bomber used in small numbers during World War II. Its design was a refinement of the earlier Russian Tupolev SB. The design bureau's name (Cyrillic: Архангельский) is transliterated in many ways in English sources in a variety of combinations of Arch- Arkh- -sky -ski -skii -skij).
12,Lights of New York (1916 film), For the 1928 Warner Brothers film see Lights of New York (1928 film).Lights of New York is a 1916 American silent drama film directed by Van Dyke Brooke. Produced by the Vitagraph Company of America and directed by Van Dyke Brooke the film stars Walter McGrail and Leah Baird. Its status is currently unknown.
7,Winnapaug Pond, Winnapaug Pond (also known as Brightman Pond) is a breached saltwater pond in Westerly Rhode Island United States connected to Block Island Sound by the Weekapaug Breachway which was constructed during the mid-1950s. The 2.5-mile (4.0 km) lake is separated from the Atlantic by a large sandbar. In 2010 its overall water quality was assessed as good. Winnapaug is relatively small and shallow and is favorable for kayaking.
6,Parkersburg Women's Club, Parkersburg Women's Club is a historic clubhouse located at Parkersburg Wood County West Virginia. It was built between about 1860 and 1879 as a private home in the Italian Villa style. It is a two-story frame building with a very low-pitched hipped roof. It features a one-story wraparound porch.
10,Aiphanes ulei, Aiphanes ulei is a species of flowering plant in the Arecaceae family.It is found in Brazil Ecuador and Peru.
10,Bulbophyllum frappieri, Bulbophyllum frappieri is a species of orchid in the genus Bulbophyllum.
9,Chloroclystis omocydia, Chloroclystis omocydia is a moth in the Geometridae family. It is found in New Guinea.
0,Gjensidige NOR, Gjensidige NOR was a Norwegian bank and insurance company that was in existence between 1999 and 2003. The company was created when the two savings banks Sparebanken NOR (bank) and Gjensidige (insurance) were merged in 1999. In 2002 Norwegian savings banks were allowed to become public limited company and was listed on the Oslo Stock Exchange.
3,Jean-Noël Ferrari, Jean-Noël Ferrari (born 7 June 1974) is a French fencer. He won a gold medal in team foil at the 2000 Summer Olympics in Sydney Athens together with Lionel Plumenail Brice Guyart and Patrice Lhotellier.
13,PlayStation World, PlayStation World (PSW) was a monthly video games magazine that covered the PlayStation brand. The pages were featured news previews reviews and letter pages. The magazine had a circulation of 17132 along with a readership of 210000. On 13 August 2009 Future Publishing announced it was to close the PSW magazine citing decreasing demand as the reason for the publication's closure.PSW magazine also included a DVD; showing clips trailers reviews and previews of the latest games.
3,Fiona Kavanagh, Fiona Kavanagh is a camogie player winner of All-Ireland Senior medals in 2010 and 2011
0,Atlas Van Lines, Atlas Van Lines is an American moving company formed in 1948 by a group of local transfer and storage firms. As an agent-owned company it is similar in form to a cooperative. It has about 500 agents worldwide (in over 140 countries) of which 75 own shares in Atlas World Group which controls Atlas Van Lines and other related companies. Based in Evansville Indiana USA it is the second-largest interstate motor carrier in the U.S.
9,Clemensia plumbeifusca, Clemensia plumbeifusca is a moth of the Arctiidae family. It is found in Peru.The wingspan is about 18 mm. The forewings are dark brown suffused with silvery blue-grey. There is an indistinctly double postmedial series of slight white points and a subterminal series of slight white points. The hindwings are dark brown suffused with silvery blue-grey.
10,Munroa, Munroa is a genus of grass in the Poaceae family. There are five species; four are found in South America and one Munroa squarrosa is native to North America.
0,FORCE America Inc., FORCE America Inc. is a privately held mobile hydraulics distribution and manufacturing company specializing in mobile hydraulic systems components and replacement parts.
4,Antanas Merkys, Antanas Merkys (About this sound pronunciation ; born on 1 February 1887 in Bajorai near Skapiškis Vilna Governorate of the Russian Empire; died on 5 March 1955 in Vladimir Oblast Soviet Union) was the last Prime Minister of independent Lithuania serving from November 1939 to June 1940. When the Soviet Union presented an ultimatum to Lithuania demanding that it accept a Soviet garrison President Antanas Smetona fled the country leaving Merkys as the acting president.
2,James Melvin Washington, James Melvin Washington (April 24 1948 - May 3 1997) was an African-American historian educator and minister from Knoxville Tennessee.
1,Strayer University, Strayer University is a United States-based private for-profit higher education institution. The university enrolls about 38000 students through its online learning programs and at 100 campuses located in 24 U.S. states.
5,HMS Goodall (K479), HMS Goodall (K479) was a British Captain-class frigate of the Royal Navy in commission during World War II. Originally constructed as the United States Navy Evarts-class destroyer escort USS Reybold (DE-275) she served in the Royal Navy from 1943 until her sinking in 1945.
2,Milt Jackson, Milton Bags Jackson (January 1 1923 – October 9 1999) was an American jazz vibraphonist usually thought of as a bebop player although he performed in several jazz idioms. He is especially remembered for his cool swinging solos as a member of the Modern Jazz Quartet and his penchant for collaborating with several hard bop and post-bop players.A very expressive player Jackson differentiated himself from other vibraphonists in his attention to variations on harmonics and rhythm.
1,Franciscan School of Theology, The Franciscan School of Theology is a Roman Catholic graduate theological school owned and operated by the Province of Saint Barbara of the Order of Friars Minor. Rooted in 800 years of Franciscan tradition FST is a place where the issues and concerns of society intersect theological education.FST is a member school of the Graduate Theological Union an ecumenical consortium of nine schools.
1,Metropolitan University Prague, Metropolitan University Prague (Czech: Metropolitní univerzita Praha) is a private university in the Czech Republic founded in 2001 as the University of Public Administration and International Relations. It provides Bachelor Master and Ph.D. studies as full-time or part-time study.
1,Parsippany Hills High School, Parsippany Hills High School is a four-year comprehensive public high school one of two high schools in the township of Parsippany-Troy Hills New Jersey United States serving students in ninth through twelfth grade as part of the Parsippany-Troy Hills School District. Built in 1969 the school serves students who live in the western half of Parsippany.
0,Bohemia Interactive, Bohemia Interactive (BI) also known as Bohemia Interactive Studio (BIS) is an independent developer of video games based in Prague Czech Republic. Founded in 1999 the company's CEO is Marek Španěl who is also the co-owner of the company.Bohemia Interactive is a member of IDEA Games which functions as a publisher and consultant for several independent developers.
7,Bear River (Michigan), Bear River is a small clear slow moving river in the U.S. state of Michigan. 14.7 miles (23.7 km) long it is the largest tributary of Little Traverse Bay in the northwest of the lower peninsula. The river is formed as the outflow of Walloon Lake on the boundary between Charlevoix County and Emmet County draining from the southeast end of the lake at 45°15′40″N 84°56′01″W near the community of Walloon Lake in Melrose Township. M-75 has its northern terminus in a junction with US 131 nearby.
11,The Road Home (Jordan Rudess album), The Road Home is a cover album by Jordan Rudess. It was released on September 12 2007.Rudess's arrangements of these classic prog tracks include many sections that were not in the original songs especially solos. Track 5 is the only original piece.
9,Telmatobius fronteriensis, Telmatobius fronteriensis is a species of frog in the Leptodactylidae family.It is found in Chile and possibly Bolivia.Its natural habitats are rivers freshwater marshes geothermal wetlands and ponds.
12,Feng Shui (film), Feng Shui is a 2004 Filipino horror movie starring Kris Aquino. The film grossed Php 137.56 million. The film was a blockbuster hit in 2004. The Hollywood version of the movie is still frozen and it is unknown if Star Cinema have decided to have a contract with Hollywood.
11,Don't Fence Me In (album), Don't Fence Me In is the third studio album released by American country music artist Lari White. The album was released on February 16 1996. The album produced two chart singles on the Billboard Hot Country Singles & Tracks (now Hot Country Songs) charts: Ready Willing and Able which peaked at #20 and Wild at Heart which peaked at #56. Ready Willing and Able was previously cut by Daron Norwood on his 1995 album of the same name.
4,Vajubhai Vala, Vajubhai Vala is the current speaker of the Gujarat Legislative Assembly. He was a Cabinet Minister in the Bharatiya Janata Party ministry of Gujarat state of India. He was a minister of Finance Labour & Employment. He was elected to Gujarat Legislative Assembly from Rajkot.He was also the Mayor of Rajkot before contesting for the state elections. He has been the finance minister for two terms before. He has 2 daughters 2 sons and 5 grandchildren.
5,Ocean Telegraph / Light Brigade (clipper), The Ocean Telegraph was an American clipper ship. Built in 1854 for the run between New York and San Francisco she was later sold and renamed the Light Brigade in 1863. For the next 12 years she was used predominantly to transport cargo and immigrants between London and Australia and New Zealand.
1,Trunojoyo University, Trunojoyo University is a public university located in the District Bangkalan (Madura) East Java province Indonesia. University Trunojoyo (Unijoyo) to public universities under the Presidential Decree dated July 5 2001. College was inaugurated on July 23 2001 by President Abdurrahman Wahid.
10,Saurauia lehmannii, Saurauia lehmannii is a species of plant in the Actinidiaceae family. It is endemic to Ecuador. Its natural habitats are subtropical or tropical moist lowland forests subtropical or tropical moist montane forests and subtropical or tropical high-altitude shrubland. It is threatened by habitat loss.
12,Cristina (film), Cristina is a 1946 Argentine comedy-drama film starring Zully Moreno.
7,Quixito River, Quixito River is a river of Amazonas state in north-western Brazil. It is a tributary of the Solimões near the village of Atalaia do Norte.
8,Mątewki, Mątewki [mɔnˈtɛfki] is a village in the administrative district of Gmina Mokrsko within Wieluń County Łódź Voivodeship in central Poland. It lies approximately 4 kilometres (2 mi) north of Mokrsko 9 km (6 mi) west of Wieluń and 96 km (60 mi) south-west of the regional capital Łódź.
9,Crioprosopus amoenus, Crioprosopus amoenus is a species of beetle in the Cerambycidae family. It was described by Jordan in 1895.
12,Kung Fu Man (film), Kung Fu Man also known as Kung Fu Hero is a 2012 Chinese-American Kung Fu film. This film was directed by Yuen Cheung-yan and Ning Ying and produced by Keanu Reeves and starring Tiger Chen Jiang Mengjie Arman Darbo Chyna Mccoy and Vanessa Branch.
12,The Curse (2005 film), The Curse (ノロイ Noroi) is a 2005 Japanese horror found footage film in the form of a documentary. The movie was directed by Kôji Shiraishi and is unusually long and complex for the J-Horror genre being just under two hours in length and having a main cast of well over twenty-five characters.
11,Something Good Is Going to Happen to You, Something Good Is Going to Happen to You is an album by Baboon released in 2002 on Last Beat Records.
9,Cyllodania, Cyllodania is a genus of the spider family Salticidae (jumping spiders).
10,Juncus scheuchzerioides, Juncus scheuchzerioides is a species of rush variously called Short Rush or Greater Rush. It has an Antarctic circumpolar distribution and is native to many subantarctic islands in and on the regions bordering the Southern Ocean.
12,Gods of Metal (film), Gods of Metal is a 1982 American short documentary film produced by Robert Richter. It was nominated for an Academy Award for Best Documentary Short.
6,Columbia Hall (Dannebrog Nebraska), Columbia Hall also known as NEHBS #HW04-056 is an historic building located in Dannebrog Nebraska United States that was built in 1908. It was listed on the National Register of Historic Places on July 22 2005. The building was built by the Danish Brotherhood in America to serve as a meeting hall for the Danish community and the building currently serves as a tourist center and hosts an archive on Danish American history.
10,Agastache rugosa, Agastache rugosa (Korean Mint Blue Licorice Purple Giant Hyssop Huo xiang Indian Mint Patchouli Herb Wrinkled Giant Hyssop; syn. Lophanthus rugosus Fisch. & C.A.Mey.) is a medicinal and ornamental plant in the Lamiaceae family.
6,Ronald O. Perelman Heart Institute, Ronald O. Perelman Heart Institute is a medical town square dedicated to the treatment of heart disease patients in New York City. Ronald O. Perelman chairman of MacAndrews & Forbes Holdings Inc. made a $50 million (philanthropic) gift to the NewYork-Presbyterian Hospital/Weill Cornell Medical Center on February 28 2009 to establish the institute in support of health care in New York City and around the world.
1,Timberline High School (Lacey Washington), Timberline High School is a comprehensive public secondary school in Lacey Washington. Opened in 1970 and part of North Thurston Public Schools its school colors are green and gold and the mascot is a blazer.Timberline primarily receives students from Komachin Middle School. At one point the school building was also home to the experimental high school New Century High School.
2,Jack Nisbet, Jack Nisbet is a teacher naturalist and writer who lives in Spokane Washington with his wife and two children. He grew up in North Carolina graduated from Stanford University and moved to Stevens County Washington in 1971 where he wrote a column for The Chewelah Independent.
7,Corbul Ucei River, The Corbul Ucei River is a tributary of the Olt River in Romania.
5,HMS Sussex (96), HMS Sussex was one of the London sub-class of the County-class heavy cruisers in the Royal Navy. She was laid down by R. and W. Hawthorn Leslie and Company Limited at Hebburn-on-Tyne on 1 February 1927 launched on 22 February 1928 and completed on 19 March 1929.
5,EMD GP7, The EMD GP7 is a four-axle (B-B) road switcher diesel-electric locomotive built by General Motors Electro-Motive Division and General Motors Diesel between October 1949 and May 1954. Power was provided by an EMD 567B 16-cylinder engine which generated 1500 horsepower (1119 kW). The GP7 was offered both with and without control cabs and those built without control cabs were called a GP7B. Five GP7B's were built between March and April 1953.
9,Xylodiscula, Xylodiscula is a genus of sea snails marine gastropod mollusks in the family Xylodisculidae.
13,Nonzero: The Logic of Human Destiny, Nonzero: The Logic of Human Destiny is a book by Robert Wright originally published in 2000. It argues that biological evolution and cultural evolution are shaped and directed first and foremost by non-zero-sumness i.e. the prospect of creating new interactions that are not zero-sum.
9,Blastobasis pica, Blastobasis pica is a moth in the Blastobasidae family. It is found on Madeira.
3,Pip Meo, Pip Meo (born 6 January 1984) is a former association football player who represented New Zealand at international level.Meo made her Football Ferns début in a 0-2 loss to Australia on 18 February 2004 and finished her international career with five caps to her credit.
6,Heins Block, The Heins Block is the most prominent commercial building in the city of Olivia Minnesota United States. It was built in 1896 to house a bank and a hardware store owned by P.W. Heins. P.W. Heins opened up his first mercantile store soon after the village of Olivia was surveyed by the Hastings and Dakota Railway. Heins established the Peoples Bank in 1889.The architect A.J. Hedlund designed a Queen Anne-styled house for Heins.
5,Honda Elysion, This article incorporates information from the equivalent article on the 日本語 Wikipedia.The Honda Elysion (Japanese: ja:ホンダ・エリシオン) is a minivan capable of seating up to 8 people that is sold only in Japan as a competitor to the Toyota Alphard and the Nissan Elgrand. It is related to the USA-spec Honda Odyssey but is not the same vehicle.
8,Colonia Benítez, Colonia Benítez is a village and municipality in Chaco Province in northern Argentina.It was one of the first towns and agricultural settlements of the province when the cultivation of cotton and various industries were the pillars of its development with over the years.
10,Eucomis bicolor, Eucomis bicolor (variegated pineapple lily) is a species of flowering plant in the family Asparagaceae native to South Africa. It is a bulbous perennial growing to 30–60 cm (12–24 in) in height with a basal rosette of wavy leaves 30–50 cm (12–20 in) long. In late summer it produces a stout stem bearing racemes of pale green purple margined flowers with a terminal rosette of pale green leafy bracts.
2,Ciro Pessoa, Ciro Pessoa Mendes Correa (born June 12 1957) is a Brazilian singer-songwriter journalist and poet. Formerly a member of rock band Titãs and the founder and lead vocalist of the now-defunct post-punk band Cabine C he currently leads a solo career having released two albums.
4,Jørgen Vig Knudstorp, Jørgen Vig Knudstorp (Danish pronunciation: [jøɐn ʋiː knusdɔb]; born 21 November 1968 in Fredericia) is the current CEO of the Lego Group and has been since October 2004. He succeeded Kjeld Kirk Kristiansen. Jørgen Vig Knudstorp joined the Lego Group in 2001. Under Knudstorp's tenure Lego Group's yearly income has gone from a loss to drawing a notable profit.
